Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m
4,1,8,2,2,0,5,1,5,09000010,02000284,6,85.1,480.40777771573596
8,2,4,2,0,8,4,4,1,09000018,02000544,7,97.6,401.8450537398367
3,2,7,1,2,0,2,0,5,09000024,02000698,10,92.80000000000001,428.35875015300525
4,2,8,2,2,0,5,1,5,09000008,02000216,8,65.60000000000001,445.4240358865244
3,1,9,0,2,0,2,0,5,09000026,02000764,4,86.6,416.2383847633925
8,4,6,2,1,0,3,2,0,09000020,02000589,4,84.3,372.0255145146193
5,2,4,1,2,5,2,4,5,09000029,02000840,2,96.39999999999999,317.2234658759687
7,1,6,2,2,0,5,0,0,09000019,02000566,6,86.2,126.9061470946743
4,1,9,2,1,0,5,0,5,09000028,02000814,9,63.7,281.33058543252537
3,1,8,1,2,0,5,0,4,09000002,02000020,3,91.4,419.7221256038647
5,3,8,1,1,6,7,4,0,09000031,02000921,3,87.2,211.02731313103388
3,3,9,1,1,2,2,0,5,09000019,02000557,1,86,377.24919648795117
