Gender_Code,Work_Schedule_Code,Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,Housing_tenure_group_code,Income_Code,imd_decile,green_space_pct,park_distance_m,crime_rate_per_1000
1,8,7,6,2,2,1,1,1,4,56.7,296.8690482,64.10579525
2,2,4,5,9,0,2,5,5,6,60.7,581.1251651,61.22939836
1,2,4,1,7,2,2,5,5,9,87.3,320.5135889,71.52628694
2,8,3,4,8,1,1,2,1,3,91.2,428.2510822,102.9492058
1,2,6,5,7,2,2,5,5,5,84.7,207.7980538,93.94595065
1,3,9,1,9,0,2,0,5,10,89.7,429.8387092,161.7785752
1,2,3,1,8,2,2,5,4,6,78.2,388.9270424,73.10062573
1,2,3,1,10,1,2,2,2,4,91.5,365.4751907,81.460788
2,2,5,5,5,2,1,5,5,5,15.9,267.3949662,106.554188
2,2,9,4,8,0,2,4,5,6,38.4,336.0770795,372.933205
2,2,3,3,7,2,2,2,2,2,74.5,174.1819682,89.33622132
1,8,8,2,5,2,1,1,0,2,65.9,281.6429255,81.460788
1,3,7,2,6,2,2,0,2,3,96.6,538.7700054,92.56137265
1,8,8,4,5,2,1,2,1,9,96.3,368.6878,71.52628694
1,2,5,5,8,2,2,5,5,4,74.4,203.8065011,81.460788
2,2,5,5,7,2,2,2,2,2,65.4,359.261419,96.79696038
2,2,6,1,8,0,2,2,5,4,68.5,249.6918473,110.3108459
1,2,9,2,5,2,2,5,3,4,85.3,279.6337094,82.92437534
2,2,8,2,7,2,2,5,5,2,82.7,273.3212368,81.460788
2,2,5,5,8,2,2,5,0,9,98.0,380.1188067,64.46313682
1,6,1,2,10,2,1,4,4,9,92.8,649.0194566,69.34413948
1,3,8,5,5,1,2,5,0,9,96.7,331.2468311,81.460788
2,2,3,4,4,2,2,2,2,5,83.3,419.5143042,372.933205
1,2,2,2,6,0,2,3,0,2,79.5,398.7856089,102.9492058
1,3,3,3,8,2,1,2,0,5,84.3,209.5898145,112.8953553
1,8,9,2,3,2,1,2,1,6,91.0,350.4860176,81.460788
2,2,6,5,7,2,2,2,5,9,91.9,379.3188213,69.34413948
1,5,12,2,8,0,2,4,5,9,73.4,265.4326667,71.52628694
1,3,4,1,6,2,2,2,4,7,89.9,241.9406364,110.3108459
1,2,8,4,6,2,2,5,4,9,94.1,408.8610641,75.01260027
1,7,5,1,5,2,1,2,1,3,61.1,154.7604152,127.4397297
3,3,5,1,7,1,2,5,2,3,68.2,215.1849939,106.554188
1,2,7,4,8,1,1,2,0,6,90.9,431.9664867,110.3108459
1,3,6,5,7,2,2,5,5,9,79.1,622.7682568,64.10579525
1,2,3,3,7,2,2,6,0,7,96.4,504.5082864,64.7356604
1,2,7,6,7,2,1,2,3,9,92.8,649.0194566,69.34413948
